Date  ,Open  ,High  ,Low  ,Close   , ,Adj Close   ,Symbol,Scraped Date,日期  ,開市  ,最高  ,最低  ,關閉   ,調整後的收市價   
"Feb 3, 2025",229.99,231.83,225.70,228.01,228.01,"73,063,300",AAPL,2025-02-05 21:01:56,,,,,,
"Feb 3, 2025",411.60,415.41,408.66,410.92,410.92,"25,679,100",MSFT,2025-02-05 21:02:03,,,,,,
"Feb 3, 2025",114.75,118.57,113.01,116.66,116.66,"371,235,700",NVDA,2025-02-05 21:02:04,,,,,,
"Feb 3, 2025",234.06,239.25,232.90,237.42,237.42,"37,285,900",AMZN,2025-02-05 21:02:06,,,,,,
"Feb 3, 2025",200.69,203.75,200.10,201.23,201.23,"27,838,300",GOOGL,2025-02-05 21:02:06,,,,,,
"Feb 3, 2025",675.91,704.00,675.25,697.46,697.46,"21,415,700",META,2025-02-05 21:02:07,,,,,,
"Feb 3, 2025",386.68,389.17,374.36,383.68,383.68,"93,732,100",TSLA,2025-02-05 21:02:08,,,,,,
"Feb 3, 2025",215.46,220.94,213.51,217.73,217.73,"24,507,300",AVGO,2025-02-05 21:02:18,,,,,,
"Feb 3, 2025",199.63,204.99,197.98,199.80,199.80,"17,719,800",TSM,2025-02-05 21:02:22,,,,,,
"Feb 3, 2025",96.77,99.79,96.47,99.54,99.54,"20,484,200",WMT,2025-02-05 21:02:26,,,,,,
"Feb 3, 2025",261.83,268.17,261.70,266.81,266.81,"8,381,400",JPM,2025-02-05 21:02:27,,,,,,
"Feb 3, 2025",804.27,817.96,801.75,810.43,810.43,"2,808,800",LLY,2025-02-05 21:02:29,,,,,,
"Feb 3, 2025",340.00,346.00,339.24,345.82,345.82,"8,004,500",V,2025-02-05 21:02:34,,,,,,
"Feb 3, 2025",552.64,565.00,551.07,563.95,563.95,"3,195,500",MA,2025-02-05 21:03:01,,,,,,
"Feb 3, 2025",542.00,553.91,541.07,548.18,548.18,"4,083,600",UNH,2025-02-05 21:03:02,,,,,,
"Feb 3, 2025",106.64,107.30,105.32,107.09,107.09,"14,623,200",XOM,2025-02-05 21:03:10,,,,,,
"Feb 3, 2025",163.20,169.90,163.20,168.60,168.60,"8,250,600",ORCL,2025-02-05 21:03:11,,,,,,
"Feb 3, 2025",972.39,"1,009.61",968.94,"1,005.83","1,005.83","2,751,000",COST,2025-02-05 21:03:13,,,,,,
"Feb 3, 2025",973.00,987.69,964.38,978.94,978.94,"3,724,200",NFLX,2025-02-05 21:03:14,,,,,,
"Feb 3, 2025",165.47,169.38,165.23,168.76,168.76,"8,668,600",PG,2025-02-05 21:03:22,,,,,,
"Feb 3, 2025",152.00,152.47,150.78,151.87,151.87,"6,687,500",JNJ,2025-02-05 21:03:27,,,,,,
"Feb 3, 2025",82.13,83.38,82.07,82.65,82.65,"5,460,100",NVO,2025-02-05 21:03:28,,,,,,
"Feb 3, 2025",45.42,46.48,45.11,46.21,46.21,"36,497,700",BAC,2025-02-05 21:03:30,,,,,,
"Feb 3, 2025",183.18,191.66,182.15,190.14,190.14,"9,830,000",ABBV,2025-02-05 21:03:31,,,,,,
"Feb 3, 2025",335.97,341.46,331.26,339.24,339.24,"4,549,400",CRM,2025-02-05 21:03:32,,,,,,
"Feb 3, 2025",272.06,274.37,268.70,272.56,272.56,"2,379,100",SAP,2025-02-05 21:03:33,,,,,,
"Feb 3, 2025",719.13,735.45,717.92,731.06,731.06,"1,647,200",ASML,2025-02-05 21:03:35,,,,,,
"Feb 3, 2025",149.00,150.86,147.80,149.34,149.34,"7,605,000",CVX,2025-02-05 21:03:38,,,,,,
"Feb 3, 2025",235.94,238.35,232.60,238.10,238.10,"3,720,000",TMUS,2025-02-05 21:03:43,,,,,,
"Feb 3, 2025",63.18,63.63,62.43,63.35,63.35,"12,067,900",KO,2025-02-05 21:03:49,,,,,,
"Feb 3, 2025",77.23,78.51,77.02,78.14,78.14,"12,395,200",WFC,2025-02-05 21:03:50,,,,,,
"Feb 3, 2025",182.62,185.86,181.14,183.65,183.65,"477,900",TM,2025-02-05 21:03:51,,,,,,
"Feb 3, 2025",381.14,386.66,378.54,385.21,385.21,"2,792,900",ACN,2025-02-05 21:03:54,,,,,,
"Feb 3, 2025",252.40,262.06,251.84,260.73,260.73,"8,408,500",IBM,2025-02-05 21:03:55,,,,,,
